cid,activity,acname,acvalue,canonical_smiles,HeavyAtomCount,NHOHCount,NOCount,pValue,LE
451705,Active,Kd,2.4e-05,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,35,2,7,10.619788758288394,0.30342253595109697
44259,Active,IC50,3.11e-05,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,35,2,7,10.507239610973162,0.3002068460278046
134540119,Active,IC50,5e-05,CCN(CC)C(C)CNC(=O)C1=CC(=NC(=C1)NC)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,33,2,8,10.301029995663981,0.3121524241110297
5329102,Active,Kd,7.5e-05,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,29,3,6,10.1249387366083,0.3491358185037345
134540086,Active,IC50,8e-05,CCN(CC)C(C)CNC(=O)C1=CC(=NC(=C1)NCCOC)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,36,2,9,10.096910013008056,0.2804697225835571
134539764,Active,IC50,9e-05,CCN(CC)C(C)CNC(=O)C1=CC(=NC=C1)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,31,1,7,10.045757490560675,0.32405669324389275
134539886,Active,IC50,0.0001,CCN(CC)C(C)CNC(=O)C1=CC(=NC(=C1)NCCO)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,35,3,9,10.0,0.2857142857142857
134539513,Active,IC50,0.00022999999999999998,CCN(CC)C(C)CNC(=O)C1=CC(=NC(=C1)N(C)C)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,34,1,8,9.638272163982407,0.2834785930583061
10138259,Active,Kd,0.00025,CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O,32,4,8,9.602059991327963,0.30006437472899883
134539527,Active,IC50,0.0016,CCN(CC)CCNC(=O)C1=CC(=NC=C1)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,30,1,7,8.795880017344075,0.29319600057813583
145964541,Active,IC50,0.0035,CCN(CC)CCNC(=O)C1=CC=CC(=C1)C2=C3N=C(C=CN3N=C2)C4=CC=CS4,30,1,6,8.455931955649724,0.28186439852165746
24867231,Active,Kd,0.0064,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,28,3,6,8.193820026016112,0.29263642950057545
5154691,Active,IC50,0.008,CC(C)(C)N1C2=NC=NC(=C2C(=N1)CC3=CC=CC4=CC=CC=C43)N,25,2,5,8.096910013008056,0.32387640052032224
44453784,Active,IC50,0.009000000000000001,C1CN(CCN1)C2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,26,2,5,8.045757490560675,0.30945221117541055
24862937,Active,IC50,0.012,C1=CC(=CC(=C1)NCCN)C2=NC(=NC=C2)NC3=CC(=CC=C3)Cl,24,4,5,7.920818753952375,0.33003411474801564
5327723,Active,IC50,0.025,C1=CC=C2C(=C1)C3=C4C(=C5C6=CC=CC=C6NC5=C3N2)C(=O)NC4=O,25,3,5,7.6020599913279625,0.3040823996531185
44453828,Active,IC50,0.042,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC=C(C=C3)C(=O)O,23,2,5,7.376750709602099,0.3207282917218304
25126798,Active,Kd,0.046,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,23,1,6,7.337242168318426,0.31901052905732286
44453852,Active,IC50,0.064,C1=CC=C(C=C1)NC2=NC=CC(=N2)C3=CC=C(C=C3)C(=O)O,22,2,5,7.1938200260161125,0.3269918193643688
44453858,Active,IC50,0.066,C1=CC(=CC=C1C2=NC(=NC=C2)NC3=CC(=NC=C3)N)C(=O)O,23,4,7,7.180456064458131,0.31219374193296223
54613583,Active,IC50,0.083,CN1C2=C(C=CC(=C2Cl)Cl)C3=C1C(=O)NC4(C3C#N)CCNCC4,24,2,5,7.080921907623926,0.2950384128176636
4877,Active,IC50,0.09699999999999999,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=CC4=CC=CC=C43)N,24,2,5,7.013228265733755,0.29221784440557314
3815,Active,IC50,0.184,C1C2=C3C4=CC=CC=C4NC3=C5C(=C2C(=O)N1)C6=CC=CC=C6N5,24,3,4,6.735182176990463,0.28063259070793595
44453762,Active,IC50,0.29,C1=CC=C(C=C1)NC2=NC=CC(=N2)C3=CC=C(C=C3)C(=O)NO,23,3,6,6.537602002101044,0.28424356530874106
44453853,Active,IC50,0.39,C1=CC(=CC=C1C2=NC(=NC=C2)NC3=CC=NC=C3)C(=O)O,22,2,6,6.4089353929735005,0.2913152451351591
44453733,Active,IC50,0.66,C1=CC(=CC(=C1)N)C2=NC(=NC=C2)NC3=CC(=CC=C3)Cl,21,3,4,6.180456064458132,0.2943074316408634
