ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB,XGB_score,XGB_LE
11369,1,AFv1,CCN(CC)CCNC(=O)c1cnn(-c2nccc(-c3cccs3)n2)c1COC,29,0.931,-10.6,5.5139999999999985,7.3360665454864495,-10.002,-0.345
11948,1,AFv1,Cc1nnc(COC(=O)c2c3c(nc4ccccc24)/C(=C\c2cccs2)CCC3)o1,30,1.0,-11.3,6.858,7.181913693428039,-9.791,-0.326
12226,5,AFv1,O=C(Nc1ccc([N+](=O)[O-])cn1)c1cc(-c2cccc(Cl)c2)nc2ccccc12,29,0.966,-10.6,6.539,7.2869755878448474,-9.935,-0.343
12249,2,AFv1,C[C@@H](Nc1oc(Cc2cccc3ccccc23)nc1C#N)c1cccc(C(F)(F)F)c1,31,0.935,-11.1,7.039,7.221715609669684,-9.846,-0.318
12255,2,AFv1,C[C@H](Nc1oc(Cc2cccc3ccccc23)nc1C#N)c1cccc(C(F)(F)F)c1,31,0.935,-11.9,7.017,7.067089716911316,-9.635,-0.311
12393,3,AFv1,C[C@H]1Cc2ccccc2N1C(=O)CSc1nnc(Cc2cccc3ccccc23)n1N,31,0.935,-11.4,7.062,7.047152915120125,-9.608,-0.31
12471,2,AFv1,CC(=O)c1cccc(NC(=O)[C@@H](C)Sc2nnc(Cc3cccc4ccccc34)n2N)c1,32,0.906,-11.6,7.0139999999999985,7.0391267142593845,-9.597,-0.3
12607,1,AFv1,C[C@@H]1Sc2nnc(Cc3cccc4ccccc34)n2N=C1c1ccc(OC(F)F)cc1,31,0.903,-11.2,7.357,7.217578060150148,-9.84,-0.317
12863,1,AFv1,C=CCNC(=O)[C@@H](C)OC(=O)c1c2c(nc3ccccc13)/C(=C\c1cccs1)CCC2,31,0.968,-10.9,6.766,7.0304120156764975,-9.585,-0.309
12976,4,AFv1,Cc1cc(Nc2cccc(Cl)c2)nc2ccc(NC(=O)Cc3c(F)cccc3Cl)cc12,31,0.903,-12.3,7.021,7.296574654340744,-9.948,-0.321
13223,2,AFv1,O=C(OCC(=O)N1CCCC1=O)c1c2c(nc3ccccc13)/C(=C\c1ccc(Cl)c(Cl)c1)CCC2,35,0.943,-11.0,7.694,7.732731463253497,-10.542,-0.301
